parent_file,chunk_index,label,chunk_path,duration_sec,sample_rate
data/raw/deep_voice/real/biden-original.wav,0,real,data/interim/deep_voice_chunks/real/biden-original_chunk0000.wav,4.0,16000
data/raw/deep_voice/real/biden-original.wav,1,real,data/interim/deep_voice_chunks/real/biden-original_chunk0001.wav,4.0,16000
data/raw/deep_voice/real/biden-original.wav,2,real,data/interim/deep_voice_chunks/real/biden-original_chunk0002.wav,4.0,16000
data/raw/deep_voice/real/biden-original.wav,3,real,data/interim/deep_voice_chunks/real/biden-original_chunk0003.wav,4.0,16000
data/raw/deep_voice/real/biden-original.wav,4,real,data/interim/deep_voice_chunks/real/biden-original_chunk0004.wav,4.0,16000
data/raw/deep_voice/real/biden-original.wav,5,real,data/interim/deep_voice_chunks/real/biden-original_chunk0005.wav,4.0,16000
data/raw/deep_voice/real/biden-original.wav,6,real,data/interim/deep_voice_chunks/real/biden-original_chunk0006.wav,4.0,16000
data/raw/deep_voice/real/biden-original.wav,7,real,data/interim/deep_voice_chunks/real/biden-original_chunk0007.wav,4.0,16000
data/raw/deep_voice/real/biden-original.wav,8,real,data/interim/deep_voice_chunks/real/biden-original_chunk0008.wav,4.0,16000
data/raw/deep_voice/real/biden-original.wav,9,real,data/interim/deep_voice_chunks/real/biden-original_chunk0009.wav,4.0,16000
data/raw/deep_voice/real/biden-original.wav,10,real,data/interim/deep_voice_chunks/real/biden-original_chunk0010.wav,4.0,16000
data/raw/deep_voice/real/biden-original.wav,11,real,data/interim/deep_voice_chunks/real/biden-original_chunk0011.wav,4.0,16000
data/raw/deep_voice/real/biden-original.wav,12,real,data/interim/deep_voice_chunks/real/biden-original_chunk0012.wav,4.0,16000
data/raw/deep_voice/real/biden-original.wav,13,real,data/interim/deep_voice_chunks/real/biden-original_chunk0013.wav,4.0,16000
data/raw/deep_voice/real/biden-original.wav,14,real,data/interim/deep_voice_chunks/real/biden-original_chunk0014.wav,4.0,16000
data/raw/deep_voice/real/biden-original.wav,15,real,data/interim/deep_voice_chunks/real/biden-original_chunk0015.wav,4.0,16000
data/raw/deep_voice/real/biden-original.wav,16,real,data/interim/deep_voice_chunks/real/biden-original_chunk0016.wav,4.0,16000
data/raw/deep_voice/real/biden-original.wav,17,real,data/interim/deep_voice_chunks/real/biden-original_chunk0017.wav,4.0,16000
