source,subset,speaker_id,utterance_id,system_id,label,audio_path
asvspoof2019_la,train,LA_0079,LA_T_1138215,-,bonafide,data/raw/asvspoof2019_la/LA/ASVspoof2019_LA_train/flac/LA_T_1138215.flac
asvspoof2019_la,train,LA_0079,LA_T_1271820,-,bonafide,data/raw/asvspoof2019_la/LA/ASVspoof2019_LA_train/flac/LA_T_1271820.flac
asvspoof2019_la,train,LA_0079,LA_T_1272637,-,bonafide,data/raw/asvspoof2019_la/LA/ASVspoof2019_LA_train/flac/LA_T_1272637.flac
asvspoof2019_la,train,LA_0079,LA_T_1276960,-,bonafide,data/raw/asvspoof2019_la/LA/ASVspoof2019_LA_train/flac/LA_T_1276960.flac
asvspoof2019_la,train,LA_0079,LA_T_1341447,-,bonafide,data/raw/asvspoof2019_la/LA/ASVspoof2019_LA_train/flac/LA_T_1341447.flac
asvspoof2019_la,train,LA_0079,LA_T_1363611,-,bonafide,data/raw/asvspoof2019_la/LA/ASVspoof2019_LA_train/flac/LA_T_1363611.flac
asvspoof2019_la,train,LA_0079,LA_T_1596451,-,bonafide,data/raw/asvspoof2019_la/LA/ASVspoof2019_LA_train/flac/LA_T_1596451.flac
asvspoof2019_la,train,LA_0079,LA_T_1608170,-,bonafide,data/raw/asvspoof2019_la/LA/ASVspoof2019_LA_train/flac/LA_T_1608170.flac
asvspoof2019_la,train,LA_0079,LA_T_1684951,-,bonafide,data/raw/asvspoof2019_la/LA/ASVspoof2019_LA_train/flac/LA_T_1684951.flac
asvspoof2019_la,train,LA_0079,LA_T_1699801,-,bonafide,data/raw/asvspoof2019_la/LA/ASVspoof2019_LA_train/flac/LA_T_1699801.flac
asvspoof2019_la,train,LA_0079,LA_T_1703395,-,bonafide,data/raw/asvspoof2019_la/LA/ASVspoof2019_LA_train/flac/LA_T_1703395.flac
asvspoof2019_la,train,LA_0079,LA_T_1736342,-,bonafide,data/raw/asvspoof2019_la/LA/ASVspoof2019_LA_train/flac/LA_T_1736342.flac
asvspoof2019_la,train,LA_0079,LA_T_1779188,-,bonafide,data/raw/asvspoof2019_la/LA/ASVspoof2019_LA_train/flac/LA_T_1779188.flac
asvspoof2019_la,train,LA_0079,LA_T_1786825,-,bonafide,data/raw/asvspoof2019_la/LA/ASVspoof2019_LA_train/flac/LA_T_1786825.flac
asvspoof2019_la,train,LA_0079,LA_T_1787246,-,bonafide,data/raw/asvspoof2019_la/LA/ASVspoof2019_LA_train/flac/LA_T_1787246.flac
asvspoof2019_la,train,LA_0079,LA_T_1905558,-,bonafide,data/raw/asvspoof2019_la/LA/ASVspoof2019_LA_train/flac/LA_T_1905558.flac
asvspoof2019_la,train,LA_0079,LA_T_2205687,-,bonafide,data/raw/asvspoof2019_la/LA/ASVspoof2019_LA_train/flac/LA_T_2205687.flac
asvspoof2019_la,train,LA_0079,LA_T_2220901,-,bonafide,data/raw/asvspoof2019_la/LA/ASVspoof2019_LA_train/flac/LA_T_2220901.flac
asvspoof2019_la,train,LA_0079,LA_T_2361751,-,bonafide,data/raw/asvspoof2019_la/LA/ASVspoof2019_LA_train/flac/LA_T_2361751.flac
asvspoof2019_la,train,LA_0079,LA_T_2373806,-,bonafide,data/raw/asvspoof2019_la/LA/ASVspoof2019_LA_train/flac/LA_T_2373806.flac
asvspoof2019_la,train,LA_0079,LA_T_2417641,-,bonafide,data/raw/asvspoof2019_la/LA/ASVspoof2019_LA_train/flac/LA_T_2417641.flac
asvspoof2019_la,train,LA_0079,LA_T_2520083,-,bonafide,data/raw/asvspoof2019_la/LA/ASVspoof2019_LA_train/flac/LA_T_2520083.flac
asvspoof2019_la,train,LA_0079,LA_T_2562689,-,bonafide,data/raw/asvspoof2019_la/LA/ASVspoof2019_LA_train/flac/LA_T_2562689.flac
asvspoof2019_la,train,LA_0079,LA_T_2564579,-,bonafide,data/raw/asvspoof2019_la/LA/ASVspoof2019_LA_train/flac/LA_T_2564579.flac
asvspoof2019_la,train,LA_0079,LA_T_2732709,-,bonafide,data/raw/asvspoof2019_la/LA/ASVspoof2019_LA_train/flac/LA_T_2732709.flac
asvspoof2019_la,train,LA_0079,LA_T_2759900,-,bonafide,data/raw/asvspoof2019_la/LA/ASVspoof2019_LA_train/flac/LA_T_2759900.flac
asvspoof2019_la,train,LA_0079,LA_T_2838981,-,bonafide,data/raw/asvspoof2019_la/LA/ASVspoof2019_LA_train/flac/LA_T_2838981.flac
asvspoof2019_la,train,LA_0079,LA_T_2873890,-,bonafide,data/raw/asvspoof2019_la/LA/ASVspoof2019_LA_train/flac/LA_T_2873890.flac
asvspoof2019_la,train,LA_0079,LA_T_2938316,-,bonafide,data/raw/asvspoof2019_la/LA/ASVspoof2019_LA_train/flac/LA_T_2938316.flac
asvspoof2019_la,train,LA_0079,LA_T_3131990,-,bonafide,data/raw/asvspoof2019_la/LA/ASVspoof2019_LA_train/flac/LA_T_3131990.flac
asvspoof2019_la,train,LA_0079,LA_T_3141223,-,bonafide,data/raw/asvspoof2019_la/LA/ASVspoof2019_LA_train/flac/LA_T_3141223.flac
asvspoof2019_la,train,LA_0079,LA_T_3167734,-,bonafide,data/raw/asvspoof2019_la/LA/ASVspoof2019_LA_train/flac/LA_T_3167734.flac
asvspoof2019_la,train,LA_0079,LA_T_3187715,-,bonafide,data/raw/asvspoof2019_la/LA/ASVspoof2019_LA_train/flac/LA_T_3187715.flac
asvspoof2019_la,train,LA_0079,LA_T_3215578,-,bonafide,data/raw/asvspoof2019_la/LA/ASVspoof2019_LA_train/flac/LA_T_3215578.flac
